loan_id,customer_id,loan_type,loan_amount,interest_rate,term_months,start_date,end_date,status,name,gender,date_of_birth,age,marital_status,education_level,occupation,income,region,join_date,email,phone,score,risk_level,default
13,44,Home,2123504.79,13.19,36,2025-02-04,2028-01-20,Rejected,Thandar Myint,Other,1976-08-08,49,Single,Master,Fisherman,1707080.14,Mandalay,2024-05-27,thandar.myint@gmail.com,959664570013,430,High,0
14,47,Education,94435393.52,11.75,120,2022-09-15,2032-07-24,Approved,Thandar Htun,Female,1993-01-14,32,Single,Master,Doctor,4197936.02,Yangon,2015-11-25,thandar.htun@gmail.com,959985367474,758,Low,0
15,48,Home,10370765.19,10.87,36,2021-12-28,2024-12-12,Approved,Myo Oo,Male,1958-07-06,67,Divorced,Middle School,Tour Guide,2376626.91,Monywa,2021-08-04,myo.oo@gmail.com,959774845237,698,Medium,0
16,52,Business,13493911.44,8.27,60,2018-10-30,2023-10-04,Approved,Khin Kyaw,Other,2000-04-18,25,Married,PhD,Government Employee,4442656.16,Yangon,2016-05-27,khin.kyaw@gmail.com,959965863202,614,Medium,0
17,54,Home,6717699.01,12.42,36,2025-01-31,2028-01-16,Approved,Su Lin,Female,1976-09-18,49,Married,Middle School,Driver,1943394.59,Bago,2025-01-08,su.lin@gmail.com,959195900118,366,High,0
18,56,Business,79433814.77,9.3,36,2019-12-06,2022-11-20,Approved,Thet Moe,Female,2001-02-08,24,Divorced,Primary,Teacher,4422080.53,Mawlamyine,2018-08-17,thet.moe@gmail.com,959321422184,637,Medium,0
19,57,Personal,72609114.63,12.08,60,2020-06-02,2025-05-07,Paid,Naing Aung,Male,1961-03-17,64,Single,Primary,Construction Worker,2342449.67,Taunggyi,2020-03-14,naing.aung@gmail.com,959913272740,416,High,0
20,58,Education,37855816.78,9.79,120,2020-11-14,2030-09-23,Approved,Nu Hlaing,Female,1946-06-24,79,Single,Diploma,Construction Worker,1193370.24,Yangon,2017-07-03,nu.hlaing@gmail.com,959860824128,739,Low,0
21,65,Education,98554029.05,9.53,24,2025-03-26,2027-03-16,Approved,Hla Kyaw,Female,1957-03-22,68,Divorced,Middle School,Business Owner,992563.62,Yangon,2021-10-07,hla.kyaw@gmail.com,959326145842,685,Medium,0
22,69,Home,76708708.96,11.96,36,2022-11-11,2025-10-26,Rejected,Nilar Win,Other,2004-02-17,21,Widowed,Middle School,Driver,3437615.34,Pathein,2019-02-16,nilar.win@gmail.com,959943203694,659,Medium,0
23,70,Home,77884012.25,11,12,2023-11-05,2024-10-30,Approved,May Lin,Other,1967-05-31,58,Widowed,PhD,Fisherman,2395793.98,Naypyidaw,2022-12-05,may.lin@gmail.com,959488769943,595,High,0
24,75,Home,78611352.89,9.16,24,2018-12-05,2020-11-24,Rejected,Kyaw Moe,Male,1973-12-12,52,Widowed,PhD,Construction Worker,4746491.56,Yangon,2018-01-10,kyaw.moe@gmail.com,959160199540,609,Medium,0
25,77,Personal,8090007.43,13.54,120,2021-07-10,2031-05-19,Approved,Thet Myint,Other,1967-03-08,58,Married,Diploma,Business Owner,1582795.97,Myitkyina,2016-05-12,thet.myint@gmail.com,959195775258,437,High,0
26,79,Car,90798373.94,13.26,12,2025-02-08,2026-02-03,Paid,Thet Htun,Other,1984-05-14,41,Widowed,Bachelor,Construction Worker,3416098.86,Mandalay,2021-01-29,thet.htun@gmail.com,959989336021,432,High,0
27,86,Home,93895043.38,12.32,120,2020-07-18,2030-05-27,Approved,Min Win,Male,1977-02-21,48,Single,High School,Construction Worker,3483532.25,Monywa,2017-03-24,min.win@gmail.com,959159751627,744,Low,0
28,89,Education,61203495.24,8.15,36,2022-07-23,2025-07-07,Approved,May Htun,Other,1992-03-30,33,Widowed,PhD,Driver,796032.69,Taunggyi,2022-07-02,may.htun@gmail.com,959118426186,762,Low,0
29,90,Personal,28938825.54,12.92,12,2020-05-18,2021-05-13,Approved,Phyu Oo,Other,1966-03-15,59,Widowed,Middle School,Tour Guide,2752209.71,Mawlamyine,2018-02-08,phyu.oo@gmail.com,959444398824,544,High,0
30,103,Car,72576348.15,12.57,120,2024-05-30,2034-04-08,Approved,Phyu Zaw,Female,1972-12-22,53,Married,Primary,Merchant,4722998.9,Myitkyina,2023-07-22,phyu.zaw@gmail.com,959529044969,717,Low,0
31,105,Car,57529717.2,8.43,24,2018-10-15,2020-10-04,Paid,Htun Myint,Male,1966-07-14,59,Divorced,Primary,Business Owner,856722.34,Monywa,2018-01-02,htun.myint@gmail.com,959549809278,581,High,0
32,107,Business,60498955.66,9.14,12,2020-09-20,2021-09-15,Approved,Nu Moe,Female,1947-02-12,78,Divorced,Bachelor,Construction Worker,583082.43,Mandalay,2017-11-03,nu.moe@gmail.com,959759985022,821,Low,0
33,112,Education,86511253.18,13.39,24,2023-03-11,2025-02-28,Approved,Khin Win,Female,1961-12-11,64,Single,Middle School,Merchant,3096706.98,Sittwe,2018-09-10,khin.win@gmail.com,959603155029,701,Low,0
34,119,Car,65680509.36,13.71,12,2023-12-24,2024-12-18,Paid,Phyu Aung,Female,1993-11-27,32,Widowed,PhD,Fisherman,472476.51,Mandalay,2021-09-29,phyu.aung@gmail.com,959409719733,490,High,0
35,124,Home,64774569.46,8.86,24,2024-08-26,2026-08-16,Paid,Thet Htun,Female,1972-12-21,53,Widowed,Primary,Business Owner,4963608.56,Mandalay,2022-02-08,thet.htun@gmail.com,959144189612,733,Low,0
36,125,Business,16872665.34,15,60,2025-03-05,2030-02-07,Rejected,Hla Oo,Female,1996-05-11,29,Widowed,Master,Merchant,2691698.47,Mawlamyine,2024-05-10,hla.oo@gmail.com,959714132061,412,High,0
37,127,Education,94679431.07,14.33,60,2024-08-30,2029-08-04,Approved,Thet Oo,Other,1994-10-15,31,Single,High School,Doctor,1897413.64,Pathein,2018-05-03,thet.oo@gmail.com,959315842116,661,Medium,0
38,130,Car,47095502.98,10.02,120,2025-02-26,2035-01-05,Defaulted,Phyu Zaw,Female,1984-09-29,41,Married,Master,Business Owner,2987448.92,Bago,2024-06-20,phyu.zaw@gmail.com,959487496564,577,High,1
39,131,Business,44732048.87,9.67,60,2022-11-14,2027-10-19,Approved,Su Zaw,Female,1978-07-03,47,Widowed,Master,Doctor,2114570.14,Naypyidaw,2021-01-15,su.zaw@gmail.com,959874809493,571,High,0
40,136,Personal,89357194.29,9.48,24,2023-04-01,2025-03-21,Approved,Su Myint,Other,1977-08-04,48,Single,Middle School,Bank Employee,3516678,Mawlamyine,2023-01-22,su.myint@gmail.com,959337376033,850,Low,0
41,139,Education,90515840.28,14.44,12,2024-02-21,2025-02-15,Approved,May Moe,Female,2004-01-24,21,Married,Middle School,Fisherman,2236643.22,Naypyidaw,2022-06-08,may.moe@gmail.com,959600200560,850,Low,0
42,140,Home,28527991.58,11.82,120,2024-11-09,2034-09-18,Approved,Htun Win,Male,1946-09-30,79,Widowed,Bachelor,Bank Employee,1431900.02,Sittwe,2021-04-19,htun.win@gmail.com,959184945580,619,Medium,0
43,144,Home,58956081.9,10.59,60,2023-09-17,2028-08-21,Approved,Hla Kyaw,Female,1984-05-03,41,Widowed,Bachelor,Engineer,3001616.07,Mawlamyine,2020-05-20,hla.kyaw@gmail.com,959538245722,662,Medium,0
44,147,Education,74540929.02,14.01,60,2024-06-26,2029-05-31,Paid,Thandar Oo,Other,1994-10-17,31,Single,Master,Bank Employee,485286.1,Myitkyina,2020-12-13,thandar.oo@gmail.com,959778178722,708,Low,0
45,148,Car,29949297.9,14.57,24,2022-10-18,2024-10-07,Paid,Naing Zaw,Male,1972-06-26,53,Married,Primary,Merchant,1835579.89,Monywa,2020-03-11,naing.zaw@gmail.com,959759688996,720,Low,0
46,150,Business,74647192.95,11.67,60,2024-05-24,2029-04-28,Approved,Phyu Aung,Female,1956-02-11,69,Divorced,PhD,Teacher,2501157.53,Mandalay,2022-04-24,phyu.aung@gmail.com,959176020302,455,High,0
47,152,Education,26822965.93,10.24,12,2022-03-08,2023-03-03,Paid,Win Zaw,Male,1990-11-25,35,Divorced,Bachelor,Doctor,4165361.32,Taunggyi,2020-05-22,win.zaw@gmail.com,959417413069,453,High,0
48,158,Education,32126682.97,12.87,12,2023-09-18,2024-09-12,Approved,Phyu Kyaw,Female,1992-08-25,33,Divorced,Primary,Bank Employee,2026474.3,Taunggyi,2020-04-28,phyu.kyaw@gmail.com,959449101020,777,Low,0
49,160,Home,71414105.07,9.88,120,2020-12-02,2030-10-11,Approved,Nu Htun,Other,1947-04-27,78,Single,PhD,Engineer,1444773.82,Naypyidaw,2020-01-17,nu.htun@gmail.com,959883098193,504,High,0
50,169,Education,22508800.4,11.75,36,2024-11-30,2027-11-15,Paid,Nu Myint,Female,1945-04-20,80,Divorced,Diploma,Construction Worker,2793617.14,Myitkyina,2020-02-13,nu.myint@gmail.com,959813617249,586,High,0
51,172,Personal,82236166.89,10.55,24,2020-08-09,2022-07-30,Approved,Yin Win,Female,1959-01-25,66,Divorced,Diploma,Engineer,3426006.96,Taunggyi,2016-07-28,yin.win@gmail.com,959447507484,585,High,0
52,173,Business,68666416.36,14.55,12,2024-08-10,2025-08-05,Defaulted,Win Win,Male,1996-02-09,29,Single,PhD,Teacher,738181.48,Mandalay,2022-10-04,win.win@gmail.com,959134154252,452,High,1
53,175,Education,16300140.05,14.54,36,2023-03-07,2026-02-19,Approved,May Moe,Female,1995-07-28,30,Single,High School,Construction Worker,1768509.83,Mandalay,2019-08-13,may.moe@gmail.com,959652940908,636,Medium,0
54,179,Personal,12280185.89,11.48,60,2024-01-07,2028-12-11,Approved,Htun Aung,Male,1976-02-17,49,Divorced,High School,Engineer,328697.21,Naypyidaw,2015-04-25,htun.aung@gmail.com,959337562690,430,High,0
55,180,Business,73014289.02,8.78,36,2018-11-06,2021-10-21,Paid,Yin Win,Other,1974-03-09,51,Married,Master,Bank Employee,4867508.5,Mandalay,2017-04-25,yin.win@gmail.com,959511400307,612,Medium,0
56,182,Education,98294716.51,14.08,12,2021-07-01,2022-06-26,Approved,May Myint,Female,2004-04-02,21,Single,Primary,Government Employee,1039826.52,Sittwe,2021-04-04,may.myint@gmail.com,959841328932,336,High,0
57,185,Personal,36933501.4,9.87,60,2023-10-06,2028-09-09,Paid,Thet Aung,Female,1981-07-27,44,Single,Middle School,Doctor,4926894.59,Yangon,2019-03-23,thet.aung@gmail.com,959834278532,533,High,0
58,190,Personal,25248782.79,14.31,24,2018-11-21,2020-11-10,Approved,Yin Aung,Female,1966-12-09,59,Single,Diploma,Farmer,4841138.55,Naypyidaw,2018-07-22,yin.aung@gmail.com,959686385828,849,Low,0
59,191,Business,33471540.12,13.02,60,2017-01-06,2021-12-11,Approved,Phyu Zaw,Other,1952-09-25,73,Single,Diploma,Teacher,1443587.43,Sittwe,2016-08-20,phyu.zaw@gmail.com,959650834580,798,Low,0
60,199,Car,10644065.93,13.6,36,2023-06-29,2026-06-13,Paid,Zaw Myint,Male,1995-06-17,30,Widowed,Diploma,Construction Worker,2905286.95,Yangon,2022-04-04,zaw.myint@gmail.com,959824644417,669,Medium,0
61,200,Home,93292465.12,9.11,12,2025-02-10,2026-02-05,Rejected,Nu Kyaw,Female,1977-08-08,48,Divorced,Bachelor,Driver,2656426.32,Yangon,2020-04-02,nu.kyaw@gmail.com,959961591223,371,High,0
62,202,Car,61197526.13,9.46,12,2025-01-26,2026-01-21,Approved,Phyu Lin,Other,1956-07-23,69,Married,High School,Engineer,4614302.91,Monywa,2024-12-06,phyu.lin@gmail.com,959315841866,482,High,0
63,206,Car,30249235.83,9.38,120,2021-04-22,2031-03-01,Defaulted,Naing Win,Male,1958-06-08,67,Divorced,Bachelor,Doctor,3324418.34,Taunggyi,2020-08-27,naing.win@gmail.com,959715707700,746,Low,1
64,210,Car,41864470.85,14.14,36,2024-09-29,2027-09-14,Approved,Naing Moe,Male,1985-04-02,40,Married,Middle School,Government Employee,4207321.77,Sittwe,2021-07-06,naing.moe@gmail.com,959143399086,611,Medium,0
65,212,Education,12099009.95,9.89,24,2018-09-01,2020-08-21,Approved,Thandar Lin,Other,1960-01-24,65,Married,Bachelor,Business Owner,1754499.11,Myitkyina,2018-06-19,thandar.lin@gmail.com,959188331564,688,Medium,0
66,214,Personal,50192396.97,8.24,24,2021-07-26,2023-07-16,Paid,Yin Oo,Other,1955-07-07,70,Married,PhD,Construction Worker,950473.11,Mawlamyine,2017-08-14,yin.oo@gmail.com,959742275362,809,Low,0
67,215,Education,40663232.59,14.04,36,2024-07-02,2027-06-17,Approved,Win Zaw,Male,1995-01-10,30,Single,Master,Fisherman,4300480.43,Mawlamyine,2024-01-08,win.zaw@gmail.com,959634865584,542,High,0
68,220,Home,95044666.89,10.6,24,2020-09-21,2022-09-11,Approved,Khin Lin,Other,1963-02-04,62,Widowed,Bachelor,Farmer,4557530.2,Yangon,2018-05-30,khin.lin@gmail.com,959572230994,850,Low,0
69,222,Education,37833539.58,11.91,12,2023-10-24,2024-10-18,Approved,Kyaw Moe,Male,1998-03-20,27,Widowed,Primary,Teacher,4232432.29,Myitkyina,2023-04-11,kyaw.moe@gmail.com,959499687491,835,Low,0
70,224,Personal,48971120.61,9.55,24,2019-10-19,2021-10-08,Paid,May Kyaw,Other,1952-01-11,73,Widowed,Middle School,Bank Employee,3440610.04,Pathein,2019-06-30,may.kyaw@gmail.com,959970269308,801,Low,0
71,225,Personal,85184525.49,13.93,60,2025-03-19,2030-02-21,Approved,Hla Hlaing,Female,1997-04-11,28,Single,Diploma,Driver,504611.8,Monywa,2016-07-19,hla.hlaing@gmail.com,959607043571,347,High,0
72,228,Business,34229457.95,13.41,120,2024-05-07,2034-03-16,Approved,Phyu Lin,Other,2007-02-28,18,Married,PhD,Government Employee,596572.52,Myitkyina,2024-05-04,phyu.lin@gmail.com,959238760237,346,High,0
73,239,Personal,84989994.53,10.35,60,2017-04-25,2022-03-30,Paid,Su Myint,Other,1992-12-15,33,Married,Master,Driver,4759470.59,Taunggyi,2015-04-16,su.myint@gmail.com,959122390095,582,High,0
74,241,Car,14185288.02,9.7,24,2024-09-07,2026-08-28,Approved,Zaw Htun,Male,1985-12-27,40,Married,Diploma,Fisherman,2118840.69,Pathein,2021-01-19,zaw.htun@gmail.com,959825855119,850,Low,0
75,248,Business,73063981.71,12.49,12,2024-08-25,2025-08-20,Rejected,Htun Zaw,Male,1962-02-09,63,Single,Diploma,Driver,3496512.26,Taunggyi,2017-03-06,htun.zaw@gmail.com,959952378413,333,High,0
76,249,Car,66352802.62,10.11,36,2024-07-30,2027-07-15,Paid,Yan Myint,Male,2000-02-27,25,Married,PhD,Government Employee,2333305.95,Yangon,2023-01-28,yan.myint@gmail.com,959406494771,574,High,0
77,250,Home,49892105.1,14.22,36,2021-06-13,2024-05-28,Approved,Yan Oo,Male,1984-04-18,41,Divorced,Middle School,Government Employee,1816505.53,Bago,2019-10-24,yan.oo@gmail.com,959754610375,504,High,0
78,251,Education,91620255.17,11.34,36,2024-05-17,2027-05-02,Approved,Thet Aung,Female,2006-08-01,19,Single,High School,Business Owner,3284768.33,Pathein,2015-12-14,thet.aung@gmail.com,959233976579,809,Low,0
79,253,Education,52774691.73,9.92,60,2021-11-16,2026-10-21,Approved,Htun Myint,Male,1999-01-19,26,Divorced,PhD,Construction Worker,493613.23,Yangon,2016-03-15,htun.myint@gmail.com,959315494945,511,High,0
80,263,Home,74989611.34,13.64,60,2021-05-29,2026-05-03,Approved,Nu Lin,Female,1972-09-06,53,Divorced,Bachelor,Farmer,4281710.12,Monywa,2020-11-26,nu.lin@gmail.com,959945179652,717,Low,0
81,268,Business,1716407.69,10.67,24,2022-05-21,2024-05-10,Approved,Aung Oo,Male,2002-10-19,23,Divorced,PhD,Driver,2740863.74,Naypyidaw,2019-06-30,aung.oo@gmail.com,959190393458,496,High,0
82,269,Education,78747356.21,14.38,60,2023-10-08,2028-09-11,Approved,Thet Oo,Other,1952-02-24,73,Divorced,Bachelor,Engineer,1063759.62,Sittwe,2023-08-17,thet.oo@gmail.com,959754107998,590,High,0
83,271,Education,85159832.78,12.68,12,2021-09-11,2022-09-06,Rejected,Phyu Htun,Female,1990-11-17,35,Divorced,High School,Bank Employee,815141.57,Monywa,2020-05-31,phyu.htun@gmail.com,959473694732,444,High,0
84,277,Home,63703012.82,9.19,60,2024-03-05,2029-02-07,Approved,Yin Zaw,Other,2002-12-13,23,Married,Diploma,Fisherman,1908936.98,Taunggyi,2023-07-03,yin.zaw@gmail.com,959922955348,678,Medium,0
85,282,Education,35976386.82,11.21,120,2025-04-08,2035-02-15,Approved,Phyu Aung,Female,1988-06-26,37,Widowed,Middle School,Business Owner,4191373.01,Mawlamyine,2025-03-04,phyu.aung@gmail.com,959201387776,679,Medium,0
86,283,Car,31033007.61,14.87,120,2025-01-16,2034-11-25,Paid,Thandar Oo,Other,1968-12-11,57,Single,Bachelor,Tour Guide,3058103.34,Bago,2024-10-17,thandar.oo@gmail.com,959592678273,538,High,0
87,288,Business,46348850.82,12.81,120,2022-05-13,2032-03-21,Approved,Thura Lin,Male,1999-08-24,26,Married,Master,Merchant,4420692.89,Yangon,2021-08-19,thura.lin@gmail.com,959810400729,303,High,0
88,296,Home,23544725.27,8.14,36,2025-02-15,2028-01-31,Approved,Hla Lin,Other,1961-01-28,64,Divorced,Middle School,Doctor,3524546.01,Mawlamyine,2024-11-27,hla.lin@gmail.com,959834497896,473,High,0
89,302,Education,15021256.07,10.8,36,2023-09-12,2026-08-27,Approved,Nu Lin,Other,2004-01-13,21,Single,Bachelor,Driver,4100852.79,Myitkyina,2019-08-20,nu.lin@gmail.com,959484421450,561,High,0
90,303,Business,85015051.93,9.96,12,2022-09-24,2023-09-19,Approved,Yan Moe,Male,2001-01-20,24,Widowed,Bachelor,Farmer,2926346.84,Mawlamyine,2022-03-17,yan.moe@gmail.com,959328801812,686,Medium,0
91,309,Home,26278329.8,12.26,12,2023-09-24,2024-09-18,Approved,Aung Aung,Male,1960-09-25,65,Widowed,Master,Tour Guide,2858893.09,Pathein,2019-08-27,aung.aung@gmail.com,959960611300,334,High,0
92,312,Personal,75804077.66,12.95,60,2017-09-19,2022-08-24,Paid,Win Myint,Male,1975-03-20,50,Single,Middle School,Tour Guide,507912.63,Myitkyina,2016-08-03,win.myint@gmail.com,959625039719,341,High,0
93,316,Car,11026907.77,9.21,60,2024-08-17,2029-07-22,Approved,Yin Hlaing,Other,1968-02-29,57,Widowed,Primary,Engineer,4725456.13,Monywa,2019-07-17,yin.hlaing@gmail.com,959639457613,786,Low,0
94,318,Education,1144282.7,9.36,120,2023-12-29,2033-11-06,Approved,Nilar Kyaw,Female,1977-05-17,48,Divorced,PhD,Tour Guide,978453.22,Myitkyina,2023-10-03,nilar.kyaw@gmail.com,959997086891,628,Medium,0
95,321,Business,62634823.91,8.42,12,2023-11-20,2024-11-14,Paid,Min Moe,Male,1960-08-03,65,Single,PhD,Teacher,1184367.48,Sittwe,2020-03-22,min.moe@gmail.com,959962644555,406,High,0
96,322,Business,33311986.57,13.61,12,2025-02-16,2026-02-11,Approved,Thet Kyaw,Other,2001-10-19,24,Widowed,Middle School,Engineer,1724983.72,Yangon,2019-05-05,thet.kyaw@gmail.com,959570173223,637,Medium,0
97,323,Business,4166554.2,14.23,12,2024-10-06,2025-10-01,Approved,Kyaw Win,Male,1983-02-10,42,Widowed,Middle School,Tour Guide,3140687.21,Bago,2023-06-10,kyaw.win@gmail.com,959464860896,339,High,0
98,327,Business,87562751.03,9.46,24,2024-03-30,2026-03-20,Approved,Htun Htun,Male,2005-11-04,20,Divorced,Bachelor,Construction Worker,3021971.75,Monywa,2015-09-28,htun.htun@gmail.com,959980942537,727,Low,0
99,330,Education,5204912.66,9.52,120,2025-01-17,2034-11-26,Approved,Khin Zaw,Female,1951-06-18,74,Married,Middle School,Tour Guide,2868767.75,Naypyidaw,2024-03-26,khin.zaw@gmail.com,959460288194,753,Low,0
100,334,Education,49967580.73,12.01,12,2025-04-05,2026-03-31,Approved,Phyu Htun,Female,1957-12-08,68,Single,Bachelor,Fisherman,2233290.99,Yangon,2025-04-03,phyu.htun@gmail.com,959417507101,706,Low,0
101,342,Education,25447666.7,11.18,36,2025-01-26,2028-01-11,Rejected,Nu Htun,Other,1963-06-28,62,Married,PhD,Engineer,373593.05,Bago,2024-06-06,nu.htun@gmail.com,959320224608,591,High,0
102,343,Education,43726586.58,13.57,12,2023-02-15,2024-02-10,Approved,Khin Moe,Other,2006-08-16,19,Single,High School,Government Employee,2950603.54,Sittwe,2021-12-31,khin.moe@gmail.com,959581105833,648,Medium,0
103,348,Home,74903837.14,14.73,36,2022-12-03,2025-11-17,Paid,Yin Win,Other,1968-04-05,57,Divorced,PhD,Business Owner,3651610.1,Mandalay,2021-01-03,yin.win@gmail.com,959631676836,705,Low,0
104,351,Business,45652006.25,14.88,60,2023-06-19,2028-05-23,Approved,Thura Lin,Male,1998-06-13,27,Widowed,Primary,Farmer,721208.56,Pathein,2023-05-07,thura.lin@gmail.com,959489939020,794,Low,0
105,353,Business,90519571.47,12.39,36,2025-03-01,2028-02-14,Paid,Hla Hlaing,Female,1997-03-23,28,Married,Bachelor,Fisherman,1097039.74,Monywa,2024-03-18,hla.hlaing@gmail.com,959315153276,363,High,0
106,356,Car,3396450.7,13.13,12,2022-02-06,2023-02-01,Approved,Phyu Myint,Other,1980-09-26,45,Married,Diploma,Teacher,936800.77,Yangon,2020-01-17,phyu.myint@gmail.com,959460698291,555,High,0
107,365,Education,95102174.83,14.69,36,2025-03-09,2028-02-22,Approved,Su Zaw,Other,1979-06-15,46,Single,Primary,Business Owner,3390727.73,Taunggyi,2022-09-17,su.zaw@gmail.com,959303220542,428,High,0
108,369,Business,63758817.51,12.74,24,2022-04-27,2024-04-16,Approved,Thet Oo,Other,1983-03-12,42,Divorced,Primary,Driver,791381.98,Monywa,2020-07-20,thet.oo@gmail.com,959487912497,319,High,0
109,372,Education,9666427.56,10.61,36,2021-04-11,2024-03-26,Approved,Hla Aung,Female,1951-05-13,74,Single,PhD,Tour Guide,840900.75,Taunggyi,2019-12-15,hla.aung@gmail.com,959963277176,602,Medium,0
110,373,Personal,82646217.43,12.23,36,2021-08-04,2024-07-19,Approved,Hla Oo,Other,1949-04-03,76,Married,Bachelor,Government Employee,2893978.36,Taunggyi,2019-04-05,hla.oo@gmail.com,959775099671,662,Medium,0
111,376,Personal,59169085.55,8.2,120,2023-12-14,2033-10-22,Approved,Yin Moe,Other,1949-09-08,76,Single,Master,Business Owner,1267187.05,Mandalay,2019-01-24,yin.moe@gmail.com,959855195291,525,High,0
112,384,Education,68754438.95,8.1,12,2025-03-30,2026-03-25,Approved,Kyaw Moe,Male,1981-04-15,44,Widowed,Diploma,Bank Employee,2611111.64,Myitkyina,2025-03-25,kyaw.moe@gmail.com,959785624944,792,Low,0
113,385,Home,40361459.85,9.89,120,2024-09-26,2034-08-05,Approved,Khin Win,Female,1979-05-12,46,Single,PhD,Business Owner,1672822.57,Mawlamyine,2024-01-03,khin.win@gmail.com,959510874104,765,Low,0
114,387,Car,70311237.66,10.54,24,2023-06-15,2025-06-04,Approved,Thet Win,Other,1969-12-02,56,Single,High School,Fisherman,4169429.2,Taunggyi,2022-04-23,thet.win@gmail.com,959894591264,531,High,0
115,391,Education,29424378.68,11.24,60,2018-11-28,2023-11-02,Paid,Naing Oo,Male,1958-10-24,67,Married,PhD,Business Owner,4085570.32,Sittwe,2018-07-02,naing.oo@gmail.com,959673764784,689,Medium,0
116,393,Personal,17107939.88,12.43,12,2025-03-09,2026-03-04,Rejected,Thet Win,Female,1983-12-13,42,Married,PhD,Doctor,4618212.95,Mawlamyine,2019-01-23,thet.win@gmail.com,959249012296,850,Low,0
117,399,Home,24250485.19,12.85,120,2024-08-10,2034-06-19,Approved,May Aung,Female,1988-12-17,37,Divorced,Bachelor,Construction Worker,913792.98,Myitkyina,2023-01-08,may.aung@gmail.com,959442078975,547,High,0
118,401,Car,79340191.38,10.94,12,2019-11-12,2020-11-06,Approved,Phyu Htun,Female,2006-07-05,19,Widowed,Middle School,Tour Guide,4574213.91,Mawlamyine,2018-11-26,phyu.htun@gmail.com,959669923999,779,Low,0
119,402,Education,32320165.59,9,12,2023-04-17,2024-04-11,Approved,Min Win,Male,1949-01-12,76,Divorced,High School,Teacher,2047665.71,Naypyidaw,2017-10-29,min.win@gmail.com,959326269616,810,Low,0
120,404,Business,64630323.8,11.24,120,2021-03-22,2031-01-29,Approved,Kyaw Lin,Male,1966-01-02,59,Single,Middle School,Construction Worker,1363097.05,Myitkyina,2021-02-27,kyaw.lin@gmail.com,959133638780,519,High,0
121,409,Home,37736650.56,12.95,36,2017-02-27,2020-02-12,Approved,Nu Lin,Female,1981-08-07,44,Married,Primary,Teacher,958061.77,Mandalay,2015-04-15,nu.lin@gmail.com,959118957310,439,High,0
